,filename_left,filename_right
8765578,ATL04_20190807081313_06150401_006_02.h5,MOD06_L2.A2019220.1700.061.2019221014322.hdf
8765988,ATL04_20190806083853_06000401_006_02.h5,MOD06_L2.A2019223.1735.061.2019224013712.hdf
11984510,ATL04_20191008082540_01750501_006_02.h5,MOD06_L2.A2019285.1950.061.2019286073302.hdf
11990595,ATL04_20191009220836_01990501_006_02.h5,MOD06_L2.A2019282.2035.061.2019283075035.hdf
11991438,ATL04_20191012222557_02450501_006_02.h5,MOD06_L2.A2019283.1120.061.2019283191927.hdf
11992702,ATL04_20191014230855_02760501_006_02.h5,MOD06_L2.A2019282.1215.061.2019283012932.hdf
11993040,ATL04_20191009234254_02000501_006_02.h5,MOD06_L2.A2019287.1235.061.2019288012850.hdf
11993445,ATL04_20191009000833_01850501_006_02.h5,MOD06_L2.A2019284.2020.061.2019285072544.hdf
11994014,ATL04_20191011005132_02160501_006_02.h5,MOD06_L2.A2019282.1355.061.2019283013715.hdf
11994197,ATL04_20191010011711_02010501_006_02.h5,MOD06_L2.A2019287.1415.061.2019288012503.hdf
11994283,ATL04_20191014010852_02620501_006_02.h5,MOD06_L2.A2019286.2005.061.2019287072445.hdf
11994353,ATL04_20191009080000_01900501_006_02.h5,MOD06_L2.A2019283.1440.061.2019284011837.hdf
11994745,ATL04_20191008020830_01710501_006_02.h5,MOD06_L2.A2019286.1510.061.2019287011948.hdf
11994953,ATL04_20191011022549_02170501_006_02.h5,MOD06_L2.A2019282.1535.061.2019283013134.hdf
11995181,ATL04_20191014024309_02630501_006_02.h5,MOD06_L2.A2019285.1605.061.2019286011758.hdf
11995356,ATL04_20191009031708_01870501_006_02.h5,MOD06_L2.A2019285.1925.061.2019286072822.hdf
11995427,ATL04_20191008034248_01720501_006_02.h5,MOD06_L2.A2019284.1700.061.2019285012204.hdf
11995682,ATL04_20191011040007_02180501_006_02.h5,MOD06_L2.A2019282.1855.061.2019283074705.hdf
11996468,ATL04_20191014041727_02640501_006_02.h5,MOD06_L2.A2019286.1830.061.2019287072826.hdf
11996709,ATL04_20191009045125_01880501_006_02.h5,MOD06_L2.A2019287.1910.061.2019288072701.hdf
11996805,ATL04_20191013044306_02490501_006_02.h5,MOD06_L2.A2019284.1840.061.2019285072410.hdf
11997223,ATL04_20191008113414_01770501_006_02.h5,MOD06_L2.A2019284.2200.061.2019285072500.hdf
11998954,ATL04_20191011132551_02240501_006_02.h5,MOD06_L2.A2019284.0035.061.2019284132914.hdf
11999214,ATL04_20191010135130_02090501_006_02.h5,MOD06_L2.A2019285.0115.061.2019285131814.hdf
11999507,ATL04_20191009141709_01940501_006_02.h5,MOD06_L2.A2019281.0140.061.2019281133346.hdf
11999772,ATL04_20191008144249_01790501_006_02.h5,MOD06_L2.A2019282.0225.061.2019283010315.hdf
12000110,ATL04_20191011150009_02250501_006_02.h5,MOD06_L2.A2019287.0245.061.2019287132427.hdf
12000382,ATL04_20191009155127_01950501_006_02.h5,MOD06_L2.A2019284.0350.061.2019284132343.hdf
12000544,ATL04_20191008161706_01800501_006_02.h5,MOD06_L2.A2019287.0420.061.2019287131938.hdf
12000821,ATL04_20191011163426_02260501_006_02.h5,MOD06_L2.A2019283.0445.061.2019283131555.hdf
12001138,ATL04_20191009172544_01960501_006_02.h5,MOD06_L2.A2019284.0530.061.2019284132250.hdf
12001401,ATL04_20191008175124_01810501_006_02.h5,MOD06_L2.A2019287.0600.061.2019287192750.hdf
12001810,ATL04_20191011180844_02270501_006_02.h5,MOD06_L2.A2019283.0625.061.2019283192535.hdf
12012828,ATL04_20191008205959_01830501_006_02.h5,MOD06_L2.A2019287.0330.061.2019287132629.hdf
12013597,ATL04_20191011194301_02280501_006_02.h5,MOD06_L2.A2019287.1640.061.2019288013141.hdf
12015734,ATL04_20191010200840_02130501_006_02.h5,MOD06_L2.A2019285.1205.061.2019286011549.hdf
12016136,ATL04_20191014200021_02740501_006_02.h5,MOD06_L2.A2019287.1155.061.2019287192222.hdf
12021470,ATL04_20191008095957_01760501_006_02.h5,MOD06_L2.A2019285.1045.061.2019285191943.hdf
12021496,ATL04_20191008065122_01740501_006_02.h5,MOD06_L2.A2019285.0735.061.2019285192043.hdf
12029068,ATL04_20191010183423_02120501_006_02.h5,MOD06_L2.A2019285.0740.061.2019285192041.hdf
12034981,ATL04_20191012064303_02350501_006_02.h5,MOD06_L2.A2019283.0940.061.2019283191956.hdf
12034999,ATL04_20191011211718_02290501_006_02.h5,MOD06_L2.A2019286.1010.061.2019286192042.hdf
12035436,ATL04_20191014213438_02750501_006_02.h5,MOD06_L2.A2019282.1035.061.2019283010104.hdf
12037457,ATL04_20191009062543_01890501_006_02.h5,MOD06_L2.A2019283.1300.061.2019284012315.hdf
12038654,ATL04_20191014055144_02650501_006_02.h5,MOD06_L2.A2019284.1520.061.2019285012123.hdf
12040335,ATL04_20191010104255_02070501_006_02.h5,MOD06_L2.A2019282.2030.061.2019283073819.hdf
12040526,ATL04_20191009110835_01920501_006_02.h5,MOD06_L2.A2019286.2145.061.2019287072505.hdf
12044321,ATL04_20191010152548_02100501_006_02.h5,MOD06_L2.A2019286.0340.061.2019286132451.hdf
12045314,ATL04_20191014165146_02720501_006_02.h5,MOD06_L2.A2019286.0520.061.2019286132754.hdf
12046703,ATL04_20191013185143_02580501_006_02.h5,MOD06_L2.A2019286.1950.061.2019287072441.hdf
12048022,ATL04_20191008192541_01820501_006_02.h5,MOD06_L2.A2019282.2010.061.2019283074317.hdf
12054408,ATL04_20191009190002_01970501_006_02.h5,MOD06_L2.A2019283.0530.061.2019283132457.hdf
12064867,ATL04_20191012191722_02430501_006_02.h5,MOD06_L2.A2019283.0915.061.2019283192132.hdf
12074018,ATL04_20191009203419_01980501_006_02.h5,MOD06_L2.A2019284.1525.061.2019285012422.hdf
12116490,ATL04_20191010170005_02110501_006_02.h5,MOD06_L2.A2019283.0945.061.2019283193208.hdf
12116784,ATL04_20191013171725_02570501_006_02.h5,MOD06_L2.A2019285.0930.061.2019285192053.hdf
12121911,ATL04_20191011053424_02190501_006_02.h5,MOD06_L2.A2019287.1735.061.2019288012909.hdf
12175707,ATL04_20191010060003_02040501_006_02.h5,MOD06_L2.A2019282.0955.061.2019283005919.hdf
12569945,ATL04_20191010025128_02020501_006_02.h5,MOD06_L2.A2019285.0610.061.2019285191925.hdf
15125218,ATL04_20190611103530_11330301_006_02.h5,MOD06_L2.A2019166.1625.061.2019168201000.hdf
15132997,ATL04_20190615102711_11940301_006_02.h5,MOD06_L2.A2019164.0755.061.2019168191938.hdf
15133032,ATL04_20190611010946_11270301_006_02.h5,MOD06_L2.A2019162.0810.061.2019168183613.hdf
