,filename_left,filename_right
6760165,ATL04_20211002062706_01501301_006_01.h5,MOD06_L2.A2021276.0555.061.2021276135329.hdf
6760564,ATL04_20211005064426_01961301_006_01.h5,MOD06_L2.A2021279.1305.061.2021280033239.hdf
6760747,ATL04_20211004071006_01811301_006_01.h5,MOD06_L2.A2021277.0640.061.2021277205106.hdf
6761092,ATL04_20211003073545_01661301_006_01.h5,MOD06_L2.A2021280.0710.061.2021280195625.hdf
6761174,ATL04_20211002141833_01551301_006_01.h5,MOD06_L2.A2021274.1245.061.2021276165318.hdf
6761615,ATL04_20211005081843_01971301_006_01.h5,MOD06_L2.A2021279.0805.061.2021279194935.hdf
6763739,ATL04_20211004181007_01881301_006_01.h5,MOD06_L2.A2021280.1525.061.2021281014534.hdf
6763755,ATL04_20211003183547_01731301_006_01.h5,MOD06_L2.A2021278.1535.061.2021279014111.hdf
6763821,ATL04_20211002190125_01581301_006_01.h5,MOD06_L2.A2021276.1550.061.2021277020258.hdf
6773476,ATL04_20211004022713_01781301_006_01.h5,MOD06_L2.A2021276.0110.061.2021276141019.hdf
6778778,ATL04_20211001020951_01321301_006_01.h5,MOD06_L2.A2021278.0115.061.2021278150118.hdf
6779798,ATL04_20211005020133_01931301_006_01.h5,MOD06_L2.A2021278.1505.061.2021279014039.hdf
6782758,ATL04_20211003025253_01631301_006_01.h5,MOD06_L2.A2021279.1715.061.2021280033254.hdf
6782994,ATL04_20211007024432_02241301_006_01.h5,MOD06_L2.A2021277.1725.061.2021278014025.hdf
6803126,ATL04_20211001161829_01411301_006_01.h5,MOD06_L2.A2021277.1810.061.2021278073704.hdf
6806579,ATL04_20211001034409_01331301_006_01.h5,MOD06_L2.A2021277.0145.061.2021277162503.hdf
7186529,ATL04_20211002023819_01471309_006_01.h5,MOD06_L2.A2021278.1945.061.2021279073624.hdf
9909506,ATL04_20210618043736_13041101_006_01.h5,MOD06_L2.A2021169.1050.061.2021268225026.hdf
9913837,ATL04_20210618171155_13121101_006_01.h5,MOD06_L2.A2021174.1125.061.2021268232307.hdf
9914626,ATL04_20210620175454_13431101_006_01.h5,MOD06_L2.A2021175.1210.061.2021268232829.hdf
9914864,ATL04_20210619182034_13281101_006_01.h5,MOD06_L2.A2021169.1250.061.2021268230438.hdf
9915098,ATL04_20210622042917_13651101_006_01.h5,MOD06_L2.A2021174.1310.061.2021268233400.hdf
9915406,ATL04_20210620192912_13441101_006_01.h5,MOD06_L2.A2021175.1350.061.2021268233952.hdf
9915526,ATL04_20210624192052_00181201_006_01.h5,MOD06_L2.A2021175.2210.061.2021268234043.hdf
9915885,ATL04_20210619195451_13291101_006_01.h5,MOD06_L2.A2021171.1415.061.2021268231212.hdf
9916526,ATL04_20210622201211_13751101_006_01.h5,MOD06_L2.A2021174.1450.061.2021268233336.hdf
9916854,ATL04_20210621203750_13601101_006_01.h5,MOD06_L2.A2021170.1515.061.2021268230851.hdf
9917066,ATL04_20210620210329_13451101_006_01.h5,MOD06_L2.A2021175.1530.061.2021268233603.hdf
9917151,ATL04_20210624205509_00191201_006_01.h5,MOD06_L2.A2021173.1545.061.2021268232838.hdf
9917202,ATL04_20210619212908_13301101_006_01.h5,MOD06_L2.A2021171.1555.061.2021268231138.hdf
9917396,ATL04_20210618215447_13151101_006_01.h5,MOD06_L2.A2021174.1630.061.2021268232816.hdf
9917483,ATL04_20210619041157_13191101_006_01.h5,MOD06_L2.A2021170.1650.061.2021268230514.hdf
9917621,ATL04_20210620223746_13461101_006_01.h5,MOD06_L2.A2021173.1725.061.2021268232454.hdf
9917688,ATL04_20210624222927_00201201_006_01.h5,MOD06_L2.A2021171.1735.061.2021268231818.hdf
9917846,ATL04_20210619230326_13311101_006_01.h5,MOD06_L2.A2021174.1805.061.2021268234127.hdf
9917946,ATL04_20210618232905_13161101_006_01.h5,MOD06_L2.A2021170.1830.061.2021268231644.hdf
9918201,ATL04_20210621234625_13621101_006_01.h5,MOD06_L2.A2021173.1900.061.2021268233151.hdf
9918331,ATL04_20210621001204_13471101_006_01.h5,MOD06_L2.A2021175.2030.061.2021268233727.hdf
9918933,ATL04_20210620003743_13321101_006_01.h5,MOD06_L2.A2021170.2010.061.2021268230720.hdf
9919586,ATL04_20210623005503_13781101_006_01.h5,MOD06_L2.A2021173.2040.061.2021268232407.hdf
9919795,ATL04_20210624051216_00091201_006_01.h5,MOD06_L2.A2021174.2125.061.2021268233510.hdf
9919857,ATL04_20210620082910_13371101_006_01.h5,MOD06_L2.A2021175.2345.061.2021268233931.hdf
9920558,ATL04_20210618092028_13071101_006_01.h5,MOD06_L2.A2021174.0140.061.2021268232815.hdf
9921259,ATL04_20210621093748_13531101_006_01.h5,MOD06_L2.A2021175.0220.061.2021268233604.hdf
9921704,ATL04_20210620100327_13381101_006_01.h5,MOD06_L2.A2021169.0300.061.2021268230035.hdf
9921869,ATL04_20210619102907_13231101_006_01.h5,MOD06_L2.A2021172.0330.061.2021268231700.hdf
9922240,ATL04_20210618105446_13081101_006_01.h5,MOD06_L2.A2021174.2305.061.2021268233611.hdf
